,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,0.0,0.0,1.0,0.0,"RT @lewn51: #CagueiproIbope

Site Encuestas Digitales, o que acertou a vitória de Trump nos EUA e que, duas semanas antes do primeiro turno…","-23.5505199, -46.63330939999999",-23.5505199,-46.63330939999999,trump,Fri Oct 26 02:30:56 +0000 2018,1055647938817507328,São Paulo / SP / Brasil
1,-0.2263,0.076,0.924,0.0,"RT @MichaelAvenatti: For yrs, Trump demanded that HRC be ""locked up"" over her emails (from a guy that doesn't even know how to use email).…","43.0389025, -87.9064736",43.0389025,-87.9064736,trump,Fri Oct 26 02:30:56 +0000 2018,1055647938809085953,"Milwaukee, WI"
4,-0.8555,0.32,0.68,0.0,RT @tribelaw: This absurd attempt to shift blame to the press for the violence Trump himself has triggered by his irresponsible rhetoric is…,"37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 02:30:56 +0000 2018,1055647938221879296,"Everywhere, US"
5,-0.1655,0.07,0.93,0.0,"RT @TeaPainUSA: If somebody sent Trump a voodoo doll in the mail, Trump would suspend elections and declare martial law, but 10 pipe bombs…","33.3764196, -117.2511466",33.3764196,-117.2511466,trump,Fri Oct 26 02:30:56 +0000 2018,1055647938083352576,"Fallbrook, CA"
6,0.0,0.0,1.0,0.0,"RT @nowthisnews: ‘That is how you claim asylum, you show up and you say I’m claiming asylum.’ — This journalist simply explains how Trump’s…","55.378051, -3.435973",55.378051,-3.435973,trump,Fri Oct 26 02:30:56 +0000 2018,1055647937911549954,UK
7,-0.1027,0.109,0.798,0.092,RT @jdawsey1: Confirmed: Trump admin is considering blocking all asylum requests and crossings at southern border. Alert online and story c…,"41.5800945, -71.4774291",41.5800945,-71.4774291,trump,Fri Oct 26 02:30:56 +0000 2018,1055647937760497664,RI
10,-0.296,0.087,0.913,0.0,RT @chelseahandler: It is the responsibility of all our news groups to stop airing Trump’s rallies. These rallies are not news. They are in…,"40.7127753, -74.0059728",40.7127753,-74.0059728,trump,Fri Oct 26 02:30:55 +0000 2018,1055647936774881287,"New York, USA"
12,-0.3612,0.106,0.894,0.0,"RT @TheMarkPantano: So, two weeks before the election, ""bombs"" were sent to everyone President Trump has criticized in the last two years?…","64.2008413, -149.4936733",64.2008413,-149.4936733,trump,Fri Oct 26 02:30:55 +0000 2018,1055647936535621632,"Alaska, USA"
14,-0.5423,0.132,0.868,0.0,RT @BetteMidler: The NY Times reports that China and Russia are listening to Trump's cell phone calls. Sooo....isn’t this at least as bad a…,"37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 02:30:55 +0000 2018,1055647936426708992,United States
15,-0.296,0.178,0.696,0.126,"RT @RawStory: Michael Moore: Trump knows exactly what he's doing when he encourages 'nationalist' violence against Democrats

https://t.co/…","41.8781136, -87.6297982",41.8781136,-87.6297982,trump,Fri Oct 26 02:30:55 +0000 2018,1055647936326131712,Chicago
18,0.0,0.0,1.0,0.0,RT @Life0d: https://t.co/FSVTzIprtx,"32.3182314, -86.902298",32.3182314,-86.902298,trump,Fri Oct 26 02:30:55 +0000 2018,1055647935902466048,"Alabama, USA"
19,-0.4019,0.133,0.798,0.068,"RT @tonyschwartz: If Democrats fail to take back the House, emboldening Trump, martial law will be a top priority &amp; will include attempt to…","38.7014389, -90.14871989999999",38.7014389,-90.14871989999999,trump,Fri Oct 26 02:30:55 +0000 2018,1055647935810150400,"Granite City, IL"
22,-0.1779,0.095,0.837,0.068,RT @AdamSchiff: If there was any doubt that Trump chose Kavanaugh out of the long list recommended by the Federalist Society because of his…,"37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 02:30:55 +0000 2018,1055647935734501376,NorthWest USA
23,-0.4588,0.136,0.864,0.0,"RT @2021_free: @realDonaldTrump While Trump campaigns for 2020 and tweets photo ops our country is being attacked from within.  
#ProtectPo…","31.9685988, -99.9018131",31.9685988,-99.9018131,trump,Fri Oct 26 02:30:55 +0000 2018,1055647935633997824,"Texas, USA"
24,0.4215,0.0,0.877,0.123,"RT @cybpmp2: @Margare04026477 @realDonaldTrump @VP Trump can't be voted out. Lol he has somewhere between just over 2 years to 6 more, Than…","47.5514926, -101.0020119",47.5514926,-101.0020119,trump,Fri Oct 26 02:30:55 +0000 2018,1055647935550111744,North Dakota
29,0.934,0.0,0.546,0.454,RT @Semaphore89: 🇺🇸 Giving this Super Trump Supporting sister a shout-out. Would love for my fellow Patriots to give her a follow. @Dcwife0…,"33.836081, -81.1637245",33.836081,-81.1637245,trump,Fri Oct 26 02:30:55 +0000 2018,1055647935197863936,"South Carolina, USA"
31,-0.6369,0.154,0.846,0.0,RT @ShemekaMichelle: So what is it called when White people automatically feel they can spew their hatred for Trump to me because I’m Black…,"27.6648274, -81.5157535",27.6648274,-81.5157535,trump,Fri Oct 26 02:30:55 +0000 2018,1055647934904188928,florida
32,-0.7613,0.266,0.646,0.087,"RT @RT_com: 'It has gotten so bad and hateful that it is beyond description. Mainstream Media must clean up its act, FAST!' https://t.co/VO…","37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 02:30:55 +0000 2018,1055647934853726208,UNITED STATES
33,-0.6908,0.233,0.723,0.044,"RT @MidTermWars: February 10, 2017: Black Lives Matter bully threatens to smash woman’s laptop over Trump sticker.
 February 10, 2017: Prot…","40.3728778, -75.4810131",40.3728778,-75.4810131,trump,Fri Oct 26 02:30:55 +0000 2018,1055647934438621185,Red Pennsylvania
35,0.0,0.101,0.797,0.101,RT @intelligencer: Donald Trump believes the media should be an uncritical conduit for his lies. This is the true through line of his entir…,"38.9071923, -77.0368707",38.9071923,-77.0368707,trump,Fri Oct 26 02:30:55 +0000 2018,1055647934140833792,"Washington, DC"
36,0.0258,0.113,0.769,0.117,"RT @krassenstein: You mean to tell me that Trump had been supporting the Saudis' fabricated claims and lies, all along?

https://t.co/vTUHh…","43.653226, -79.3831843",43.653226,-79.3831843,trump,Fri Oct 26 02:30:55 +0000 2018,1055647933998088192,"Toronto, Ontario"
37,0.0,0.0,1.0,0.0,"@megynkelly Hey Megyn, now that your karma finally caught up with you it's time to do some soul searching if you ev… https://t.co/ifjF7WM9Ib","33.4483771, -112.0740373",33.4483771,-112.0740373,trump,Fri Oct 26 02:30:54 +0000 2018,1055647933444440064,Valley of the sun
43,0.2023,0.0,0.924,0.076,"RT @votevets: The refugees have months of walking before reaching the border - if they make it. 

Our military can't do more than logistics…","41.7435073, -88.0118473",41.7435073,-88.0118473,trump,Fri Oct 26 02:30:54 +0000 2018,1055647932484067333,Chicagoland
46,0.5106,0.0,0.858,0.142,@marycjordan @ktumulty Can we maybe get our eye on the prize Let’s start with just getting some of these witnesses… https://t.co/8BZUh8EXfs,"32.7766642, -96.79698789999999",32.7766642,-96.79698789999999,trump,Fri Oct 26 02:30:54 +0000 2018,1055647932102381568,Dallas
47,-0.3612,0.128,0.872,0.0,RT @venanalysis: .@VP conveniently scapegoating Venezuela for the appalling conditions Trump and Obama administrations have fostered in Cen…,"49.2827291, -123.1207375",49.2827291,-123.1207375,trump,Fri Oct 26 02:30:54 +0000 2018,1055647932030939136,"Vancouver, B.C., Canadá "
