,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location,length,compound2,positive2,negative2,neutral2,token_text,stop_tokens,hash_token,idf_token,features,rawPrediction,probability,prediction
0,0.0,0.0,1.0,0.0,https://t.co/IJI9LjFcqX,"37.2245382, -95.7062764",37.2245382,-95.7062764,apple,Wed Oct 24 03:37:18 +0000 2018,1054939867132641285,UPTOWN,23,0.0,0.0,0.0,0.0,['https://t.co/iji9ljfcqx'],['https://t.co/iji9ljfcqx'],"(262144,[178959],[1.0])","(262144,[178959],[2.6026896854443837])","(262149,[178959,262144],[2.6026896854443837,23.0])","[-89.9095323555996,-89.48523018768365]","[0.39548773884428606,0.6045122611557139]",1.0
1,0.0,0.0,1.0,0.0,"RT @BleacherReport: ""Odell, we traded Eli...

...Apple"" https://t.co/w3LudLdcfq","25.6866142, -100.3161126",25.6866142,-100.3161126,apple,Wed Oct 24 03:37:18 +0000 2018,1054939864829968384,"Monterrey, Nuevo León",79,0.0,0.0,0.0,0.0,"['rt', '@bleacherreport:', '""odell,', 'we', 'traded', 'eli...', '', '...apple""', 'https://t.co/w3ludldcfq']","['rt', '@bleacherreport:', '""odell,', 'traded', 'eli...', '', '...apple""', 'https://t.co/w3ludldcfq']","(262144,[20666,107531,205894,218995,220453,248305,249180,256330],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[20666,107531,205894,218995,220453,248305,249180,256330],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,0.8979415932059586,1.2163953243244932,2.6026896854443837])","(262149,[20666,107531,205894,218995,220453,248305,249180,256330,262144],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,0.8979415932059586,1.2163953243244932,2.6026896854443837,79.0])","[-419.84077742146445,-417.86610296543245]","[0.12188768980366542,0.8781123101963345]",1.0
2,0.296,0.107,0.741,0.152,RT @TeaPainUSA: Trump seeks to wreck another great American institution with his tariffs and tweets: Harley Davidson.  Is apple pie and Che…,"29.7604267, -95.3698028",29.7604267,-95.3698028,apple,Wed Oct 24 03:37:17 +0000 2018,1054939861868863488,"Houston, TX",140,4.0,1.0,1.0,7.0,"['rt', '@teapainusa:', 'trump', 'seeks', 'to', 'wreck', 'another', 'great', 'american', 'institution', 'with', 'his', 'tariffs', 'and', 'tweets:', 'harley', 'davidson.', '', 'is', 'apple', 'pie', 'and', 'che…']","['rt', '@teapainusa:', 'trump', 'seeks', 'wreck', 'another', 'great', 'american', 'institution', 'tariffs', 'tweets:', 'harley', 'davidson.', '', 'apple', 'pie', 'che…']","(262144,[7612,20722,69639,82734,108333,117646,138356,138836,153077,168602,193347,195857,200223,205195,246329,248305,249180],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[7612,20722,69639,82734,108333,117646,138356,138836,153077,168602,193347,195857,200223,205195,246329,248305,249180],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,2.6026896854443837,0.8979415932059586,1.2163953243244932])","(262149,[7612,20722,69639,82734,108333,117646,138356,138836,153077,168602,193347,195857,200223,205195,246329,248305,249180,262144,262145,262146,262147,262148],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,2.6026896854443837,0.8979415932059586,1.2163953243244932,140.0,4.0,1.0,1.0,7.0])","[-865.0401303852963,-870.5995994099145]","[0.99616395138903,0.003836048610970011]",0.0
3,0.3016,0.0,0.854,0.146,"ADIVINANDO, HeadsUp! en Español GRATIS, #1 en mas de 70 Paises eocodes IOs https://t.co/wpOaAOsxSA","18.220833, -66.590149",18.220833,-66.590149,apple,Wed Oct 24 03:37:16 +0000 2018,1054939856315441152,Puerto Rico,98,7.0,5.0,0.0,1.0,"['adivinando,', 'headsup!', 'en', 'español', 'gratis,', '#1', 'en', 'mas', 'de', '70', 'paises', 'eocodes', 'ios', 'https://t.co/wpoaaosxsa']","['adivinando,', 'headsup!', 'en', 'español', 'gratis,', '#1', 'en', 'mas', 'de', '70', 'paises', 'eocodes', 'ios', 'https://t.co/wpoaaosxsa']","(262144,[18004,36449,68004,94180,124300,136490,150676,162587,224761,225166,231061,258688,259744],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(262144,[18004,36449,68004,94180,124300,136490,150676,162587,224761,225166,231061,258688,259744],[2.6026896854443837,2.1972245773362196,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,5.2053793708887675,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837])","(262149,[18004,36449,68004,94180,124300,136490,150676,162587,224761,225166,231061,258688,259744,262144,262145,262147,262148],[2.6026896854443837,2.1972245773362196,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,5.2053793708887675,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,98.0,7.0,5.0,1.0])","[-748.9229351253841,-699.3112080963928]","[2.843810894327179e-22,1.0]",1.0
4,0.0,0.0,1.0,0.0,@WilliamHop82 @Apple Why you say that billy,"42.8142432, -73.9395687",42.8142432,-73.9395687,apple,Wed Oct 24 03:37:15 +0000 2018,1054939853517979649,"Schenectady, NY",43,0.0,0.0,0.0,0.0,"['@williamhop82', '@apple', 'why', 'you', 'say', 'that', 'billy']","['@williamhop82', '@apple', 'say', 'billy']","(262144,[53773,65212,190741,251450],[1.0,1.0,1.0,1.0])","(262144,[53773,65212,190741,251450],[2.1972245773362196,2.6026896854443837,2.6026896854443837,2.6026896854443837])","(262149,[53773,65212,190741,251450,262144],[2.1972245773362196,2.6026896854443837,2.6026896854443837,2.6026896854443837,43.0])","[-222.87554731694476,-225.94059922946983]","[0.9554279303340398,0.04457206966596012]",0.0
5,0.0,0.0,1.0,0.0,@Ausley_Styles https://t.co/anEilTxUEn,"34.8959008, -82.2172338",34.8959008,-82.2172338,apple,Wed Oct 24 03:37:15 +0000 2018,1054939851580153856,gsp | woo-ah!,38,0.0,0.0,0.0,0.0,"['@ausley_styles', 'https://t.co/aneiltxuen']","['@ausley_styles', 'https://t.co/aneiltxuen']","(262144,[35634,99752],[1.0,1.0])","(262144,[35634,99752],[2.6026896854443837,2.6026896854443837])","(262149,[35634,99752,262144],[2.6026896854443837,2.6026896854443837,38.0])","[-160.5118696481426,-159.7031830604149]","[0.30817044648865216,0.6918295535113479]",1.0
6,0.0,0.0,1.0,0.0,Bluetoothのイヤホン欲しいけどワイヤレスだとすぐに無くしそう…と思って買えなかったんだけど家にいる時だけつけるという手もあるな？Appleのワイヤレスってマイクついてるのかな？マイク付きのワイヤレスでおすすめあったら教えてください🙏🏻,"35.6894875, 139.6917064",35.6894875,139.6917064,apple,Wed Oct 24 03:37:14 +0000 2018,1054939850053308417,東京都,121,0.0,0.0,0.0,0.0,['bluetoothのイヤホン欲しいけどワイヤレスだとすぐに無くしそう…と思って買えなかったんだけど家にいる時だけつけるという手もあるな？appleのワイヤレスってマイクついてるのかな？マイク付きのワイヤレスでおすすめあったら教えてください🙏🏻'],['bluetoothのイヤホン欲しいけどワイヤレスだとすぐに無くしそう…と思って買えなかったんだけど家にいる時だけつけるという手もあるな？appleのワイヤレスってマイクついてるのかな？マイク付きのワイヤレスでおすすめあったら教えてください🙏🏻'],"(262144,[19957],[1.0])","(262144,[19957],[2.6026896854443837])","(262149,[19957,262144],[2.6026896854443837,121.0])","[-318.30334227906206,-316.63496716765064]","[0.15864093893239198,0.841359061067608]",1.0
7,0.0,0.0,1.0,0.0,RT @slckrikk: apple music is trash at shuffling,"40.559144, -80.0391739",40.559144,-80.0391739,apple,Wed Oct 24 03:37:14 +0000 2018,1054939850019889152,in the moment ,47,0.0,0.0,0.0,0.0,"['rt', '@slckrikk:', 'apple', 'music', 'is', 'trash', 'at', 'shuffling']","['rt', '@slckrikk:', 'apple', 'music', 'trash', 'shuffling']","(262144,[63443,73870,78055,200223,235577,248305],[1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[63443,73870,78055,200223,235577,248305],[2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,0.8979415932059586])","(262149,[63443,73870,78055,200223,235577,248305,262144],[2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,0.8979415932059586,47.0])","[-270.67348978440606,-270.06206741773553]","[0.3517348051680959,0.6482651948319041]",1.0
8,0.0,0.0,1.0,0.0,"プレゼント企画！
Apple MacBook Pro 15 インチ Retina Core i7 SSD 512GB

↓参加方法↓
RTとフォロー！

当選者にはDMします
※住所氏名を教えても良い方
当選したら画像付きのツイー… https://t.co/ct6rmHcg9b","33.4151843, -111.8314724",33.4151843,-111.8314724,apple,Wed Oct 24 03:37:14 +0000 2018,1054939849361424384,"Mesa, Arizona",140,0.0,0.0,0.0,0.0,"['プレゼント企画！', 'apple', 'macbook', 'pro', '15', 'インチ', 'retina', 'core', 'i7', 'ssd', '512gb', '', '↓参加方法↓', 'rtとフォロー！', '', '当選者にはdmします', '※住所氏名を教えても良い方', '当選したら画像付きのツイー…', 'https://t.co/ct6rmhcg9b']","['プレゼント企画！', 'apple', 'macbook', 'pro', '15', 'インチ', 'retina', 'core', 'i7', 'ssd', '512gb', '', '↓参加方法↓', 'rtとフォロー！', '', '当選者にはdmします', '※住所氏名を教えても良い方', '当選したら画像付きのツイー…', 'https://t.co/ct6rmhcg9b']","(262144,[19264,29132,52848,116504,124417,130217,148260,169016,186369,200223,203319,203516,203672,206255,217598,221072,246658,249180],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0])","(262144,[19264,29132,52848,116504,124417,130217,148260,169016,186369,200223,203319,203516,203672,206255,217598,221072,246658,249180],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.4327906486489863])","(262149,[19264,29132,52848,116504,124417,130217,148260,169016,186369,200223,203319,203516,203672,206255,217598,221072,246658,249180,262144],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.4327906486489863,140.0])","[-904.5285815736337,-920.4232096094597]","[0.999999874959501,1.250404989064255e-07]",0.0
9,-0.6705,0.478,0.522,0.0,Of all the weapons you fight with..... https://t.co/aSb6fbgXP6,"37.8271784, -122.2913078",37.8271784,-122.2913078,apple,Wed Oct 24 03:37:13 +0000 2018,1054939843111735296,Bay Area Ca.,62,3.0,0.0,3.0,2.0,"['of', 'all', 'the', 'weapons', 'you', 'fight', 'with.....', 'https://t.co/asb6fbgxp6']","['weapons', 'fight', 'with.....', 'https://t.co/asb6fbgxp6']","(262144,[60268,102217,221365,225234],[1.0,1.0,1.0,1.0])","(262144,[60268,102217,221365,225234],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837])","(262149,[60268,102217,221365,225234,262144,262145,262146,262148],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,62.0,3.0,3.0,2.0])","[-297.2365214920776,-304.0823290774383]","[0.9989372240003342,0.0010627759996658442]",0.0
10,0.0,0.0,1.0,0.0,https://t.co/brOYTLidEb,"14.0722751, -87.19213599999999",14.0722751,-87.19213599999999,apple,Wed Oct 24 03:37:11 +0000 2018,1054939836455550981,"Tegucigalpa, Honduras.",23,0.0,0.0,0.0,0.0,['https://t.co/broytlideb'],['https://t.co/broytlideb'],"(262144,[57610],[1.0])","(262144,[57610],[2.6026896854443837])","(262149,[57610,262144],[2.6026896854443837,23.0])","[-89.9095323555996,-89.48523018768365]","[0.39548773884428606,0.6045122611557139]",1.0
11,0.0,0.0,1.0,0.0,RT @Rkstevens4: Oreo is releasing a new version of its cookie with the most stuffing ever - Mashable ⁦@morgfair⁩  https://t.co/gHN9GLQZT0,"76.2505778, -100.113952",76.2505778,-100.113952,apple,Wed Oct 24 03:37:11 +0000 2018,1054939836086472704,Arctic,137,0.0,0.0,0.0,0.0,"['rt', '@rkstevens4:', 'oreo', 'is', 'releasing', 'a', 'new', 'version', 'of', 'its', 'cookie', 'with', 'the', 'most', 'stuffing', 'ever', '-', 'mashable', '\u2066@morgfair\u2069', '', 'https://t.co/ghn9glqzt0']","['rt', '@rkstevens4:', 'oreo', 'releasing', 'new', 'version', 'cookie', 'stuffing', 'ever', '-', 'mashable', '\u2066@morgfair\u2069', '', 'https://t.co/ghn9glqzt0']","(262144,[5795,18925,29945,45531,50939,51348,68712,81762,160816,199551,203802,206852,248305,249180],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[5795,18925,29945,45531,50939,51348,68712,81762,160816,199551,203802,206852,248305,249180],[2.6026896854443837,2.6026896854443837,2.6026896854443837,1.9095425048844386,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,0.8979415932059586,1.2163953243244932])","(262149,[5795,18925,29945,45531,50939,51348,68712,81762,160816,199551,203802,206852,248305,249180,262144],[2.6026896854443837,2.6026896854443837,2.6026896854443837,1.9095425048844386,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,0.8979415932059586,1.2163953243244932,137.0])","[-725.0927627360933,-717.4077980706253]","[0.0004594758168262338,0.9995405241831737]",1.0
12,0.0,0.0,1.0,0.0,eBay: Apple iPhone 5 - 16GB - White &amp; Silver (Unlocked) A1429 (GSM) https://t.co/mZ58CExuYz https://t.co/xt0h5Jh4PB,"55.378051, -3.435973",55.378051,-3.435973,apple,Wed Oct 24 03:37:11 +0000 2018,1054939834379231232,United Kingdom,119,0.0,0.0,0.0,0.0,"['ebay:', 'apple', 'iphone', '5', '-', '16gb', '-', 'white', '&amp;', 'silver', '(unlocked)', 'a1429', '(gsm)', 'https://t.co/mz58cexuyz', 'https://t.co/xt0h5jh4pb']","['ebay:', 'apple', 'iphone', '5', '-', '16gb', '-', 'white', '&amp;', 'silver', '(unlocked)', 'a1429', '(gsm)', 'https://t.co/mz58cexuyz', 'https://t.co/xt0h5jh4pb']","(262144,[15512,27536,28063,29098,45531,56559,57341,79516,89689,127246,199616,200223,213022,243328],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[15512,27536,28063,29098,45531,56559,57341,79516,89689,127246,199616,200223,213022,243328],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,3.819085009768877,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,2.6026896854443837])","(262149,[15512,27536,28063,29098,45531,56559,57341,79516,89689,127246,199616,200223,213022,243328,262144],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,3.819085009768877,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.0986122886681098,2.6026896854443837,2.6026896854443837,119.0])","[-724.9255541279595,-716.830214133354]","[0.00030486396262105676,0.999695136037379]",1.0
13,0.3182,0.099,0.737,0.164,"@MLB Red Sox are good, just double check for Apple watches just to be safe. Red Sox have been as bad as the Patriots trying to get an edge.","33.4483771, -112.0740373",33.4483771,-112.0740373,apple,Wed Oct 24 03:37:10 +0000 2018,1054939833892622336,"Phoenix, AZ",139,1.0,6.0,2.0,5.0,"['@mlb', 'red', 'sox', 'are', 'good,', 'just', 'double', 'check', 'for', 'apple', 'watches', 'just', 'to', 'be', 'safe.', 'red', 'sox', 'have', 'been', 'as', 'bad', 'as', 'the', 'patriots', 'trying', 'to', 'get', 'an', 'edge.']","['@mlb', 'red', 'sox', 'good,', 'double', 'check', 'apple', 'watches', 'safe.', 'red', 'sox', 'bad', 'patriots', 'trying', 'get', 'edge.']","(262144,[3828,96638,99895,99917,120051,125440,142202,169790,195459,200223,203356,218965,219578,239621],[1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(262144,[3828,96638,99895,99917,120051,125440,142202,169790,195459,200223,203356,218965,219578,239621],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,5.2053793708887675,2.6026896854443837,2.6026896854443837,5.2053793708887675,1.0986122886681098,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837])","(262149,[3828,96638,99895,99917,120051,125440,142202,169790,195459,200223,203356,218965,219578,239621,262144,262145,262146,262147,262148],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,5.2053793708887675,2.6026896854443837,2.6026896854443837,5.2053793708887675,1.0986122886681098,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,139.0,1.0,2.0,6.0,5.0])","[-816.3091077301776,-839.5829816280215]","[0.9999999999219658,7.803420201911971e-11]",0.0
14,0.0,0.0,1.0,0.0,@suechait @Apple Apple is working in my issue with me privately.,"56.130366, -106.346771",56.130366,-106.346771,apple,Wed Oct 24 03:37:10 +0000 2018,1054939833557078016,CANADA,64,0.0,0.0,0.0,0.0,"['@suechait', '@apple', 'apple', 'is', 'working', 'in', 'my', 'issue', 'with', 'me', 'privately.']","['@suechait', '@apple', 'apple', 'working', 'issue', 'privately.']","(262144,[2597,46044,53773,102824,132201,200223],[1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[2597,46044,53773,102824,132201,200223],[2.6026896854443837,2.6026896854443837,2.1972245773362196,2.6026896854443837,2.6026896854443837,1.0986122886681098])","(262149,[2597,46044,53773,102824,132201,200223,262144],[2.6026896854443837,2.6026896854443837,2.1972245773362196,2.6026896854443837,2.6026896854443837,1.0986122886681098,64.0])","[-321.07952205241696,-327.4496906720952]","[0.9982910549465351,0.0017089450534649917]",0.0
15,0.0,0.0,1.0,0.0,RT @LMJUpdates: #UPDATE | Chile “Expectations” is available for you on iTunes right now! #Expectations https://t.co/eEhILUepQY,"6.42375, -66.58973",6.42375,-66.58973,apple,Wed Oct 24 03:37:10 +0000 2018,1054939833418821632,Venezuela,126,0.0,0.0,0.0,0.0,"['rt', '@lmjupdates:', '#update', '|', 'chile', '“expectations”', 'is', 'available', 'for', 'you', 'on', 'itunes', 'right', 'now!', '#expectations', 'https://t.co/eehiluepqy']","['rt', '@lmjupdates:', '#update', '|', 'chile', '“expectations”', 'available', 'itunes', 'right', 'now!', '#expectations', 'https://t.co/eehiluepqy']","(262144,[6314,14381,49146,87466,97894,103382,113363,118376,118590,132612,238163,248305],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[6314,14381,49146,87466,97894,103382,113363,118376,118590,132612,238163,248305],[2.1972245773362196,2.1972245773362196,2.6026896854443837,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.6026896854443837,2.6026896854443837,1.9095425048844386,2.1972245773362196,1.9095425048844386,0.8979415932059586])","(262149,[6314,14381,49146,87466,97894,103382,113363,118376,118590,132612,238163,248305,262144],[2.1972245773362196,2.1972245773362196,2.6026896854443837,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.6026896854443837,2.6026896854443837,1.9095425048844386,2.1972245773362196,1.9095425048844386,0.8979415932059586,126.0])","[-622.4980308936612,-619.0179416071956]","[0.0298840911881739,0.9701159088118261]",1.0
16,0.0,0.0,1.0,0.0,"RT @BigHitEnt: RM - 'mono.' Playlist available on

SoundCloud: https://t.co/FnjE31ZalX
Spotify: https://t.co/oSL9HUQf9u
iTunes: https://t.c…","37.2321077, -95.7243335",37.2321077,-95.7243335,apple,Wed Oct 24 03:37:10 +0000 2018,1054939832936525825,Earth,140,0.0,0.0,0.0,0.0,"['rt', '@bighitent:', 'rm', '-', ""'mono.'"", 'playlist', 'available', 'on', '', 'soundcloud:', 'https://t.co/fnje31zalx', 'spotify:', 'https://t.co/osl9huqf9u', 'itunes:', 'https://t.c…']","['rt', '@bighitent:', 'rm', '-', ""'mono.'"", 'playlist', 'available', '', 'soundcloud:', 'https://t.co/fnje31zalx', 'spotify:', 'https://t.co/osl9huqf9u', 'itunes:', 'https://t.c…']","(262144,[25274,45531,62467,62610,79717,128766,154334,173833,191954,202498,238163,248305,249180,253930],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[25274,45531,62467,62610,79717,128766,154334,173833,191954,202498,238163,248305,249180,253930],[2.6026896854443837,1.9095425048844386,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.9095425048844386,0.8979415932059586,1.2163953243244932,2.6026896854443837])","(262149,[25274,45531,62467,62610,79717,128766,154334,173833,191954,202498,238163,248305,249180,253930,262144],[2.6026896854443837,1.9095425048844386,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,1.9095425048844386,0.8979415932059586,1.2163953243244932,2.6026896854443837,140.0])","[-743.946328830156,-742.8518609389511]","[0.25077787937127144,0.7492221206287285]",1.0
17,0.3612,0.0,0.878,0.122,@SOTTexans @The_Claire_Bear What are some logical options at CB around the league that ultimately fit the Texans sc… https://t.co/EzMGn3NdOq,"29.8401979, -95.4149003",29.8401979,-95.4149003,apple,Wed Oct 24 03:37:10 +0000 2018,1054939832596750336,"Nawfside of Houston, TX",140,2.0,3.0,0.0,4.0,"['@sottexans', '@the_claire_bear', 'what', 'are', 'some', 'logical', 'options', 'at', 'cb', 'around', 'the', 'league', 'that', 'ultimately', 'fit', 'the', 'texans', 'sc…', 'https://t.co/ezmgn3ndoq']","['@sottexans', '@the_claire_bear', 'logical', 'options', 'cb', 'around', 'league', 'ultimately', 'fit', 'texans', 'sc…', 'https://t.co/ezmgn3ndoq']","(262144,[2134,24303,50343,55628,64879,78329,93062,95051,126831,155105,157335,259471],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[2134,24303,50343,55628,64879,78329,93062,95051,126831,155105,157335,259471],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837])","(262149,[2134,24303,50343,55628,64879,78329,93062,95051,126831,155105,157335,259471,262144,262145,262147,262148],[2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,2.6026896854443837,140.0,2.0,3.0,4.0])","[-760.032446560751,-758.8052903668836]","[0.22667954585970976,0.7733204541402902]",1.0
18,0.0,0.0,1.0,0.0,https://t.co/3JF1OIboE8,"35.0843859, -106.650422",35.0843859,-106.650422,apple,Wed Oct 24 03:37:09 +0000 2018,1054939827781558278,"Albuquerque, NM",23,0.0,0.0,0.0,0.0,['https://t.co/3jf1oiboe8'],['https://t.co/3jf1oiboe8'],"(262144,[52285],[1.0])","(262144,[52285],[2.6026896854443837])","(262149,[52285,262144],[2.6026896854443837,23.0])","[-89.9095323555996,-89.48523018768365]","[0.39548773884428606,0.6045122611557139]",1.0
