,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
3,0.5994,0.0,0.719,0.281,RT @JCMorales123: Debería haber música en 8d en Apple Music y Spotify,"41.3850639, 2.1734035",41.3850639,2.1734035,apple,Fri Oct 26 01:59:22 +0000 2018,1055639993937547274,"Barcelona, España"
4,-0.2958,0.151,0.784,0.065,I’m no fan of Britney Spears but this piece is HYSTERICAL. And Megyn Kelly got was she deserved. Jesus did not look… https://t.co/dQ7bryHwbC,"33.730426, -118.2925063",33.730426,-118.2925063,apple,Fri Oct 26 01:59:21 +0000 2018,1055639993048330240,California Girl
8,0.0,0.0,1.0,0.0,https://t.co/XuXODIpArz,"33.836081, -81.1637245",33.836081,-81.1637245,apple,Fri Oct 26 01:59:20 +0000 2018,1055639989382512640,SC 
10,0.3612,0.0,0.737,0.263,RT @jeongye8n: is like a star on apple music?,"18.0117807, -66.6134129",18.0117807,-66.6134129,apple,Fri Oct 26 01:59:20 +0000 2018,1055639986584862721,"Puerto Rico, USA"
12,0.0,0.0,1.0,0.0,"時間吻合

#推背圖 第四十五象

讖曰：有客西來　至東而止
木火金水　洗此大恥

頌曰：
炎運宏開世界同　金烏隱匿白洋中
從此不敢稱雄長　兵氣全消運已終

美軍前司令︰「中美十五年內開戰」
 https://t.co/O5mLdLxCPi","22.396428, 114.109497",22.396428,114.109497,apple,Fri Oct 26 01:59:19 +0000 2018,1055639984223399936,Hong Kong
13,0.0,0.0,1.0,0.0,RT @doctarm: ตอนนี่ Tim Cook อาจจะกำลังกรี๊ดอยู่ในสำนักงานใหญ่ Apple และบอกว่า ตรูไม่ได้ออกแบบโลโก้ Apple มาเป็นภาษาไทยมาให้พวกแกทำเป็นมีม…,"15.870032, 100.992541",15.870032,100.992541,apple,Fri Oct 26 01:59:19 +0000 2018,1055639983757783040,Thailand
19,0.4019,0.0,0.876,0.124,@shasha_sharif yes. sebab tu i taktau nak cakap apa ni. 3 month dah 93%. should i bawak pergi ke apple center? i pa… https://t.co/qPLylwuyUb,"38.9385202, -92.32786569999999",38.9385202,-92.32786569999999,apple,Fri Oct 26 01:59:18 +0000 2018,1055639978162577409,KUL
22,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","-25.2520888, -52.0215415",-25.2520888,-52.0215415,apple,Fri Oct 26 01:59:17 +0000 2018,1055639976266944513,"Paraná, Brasil"
24,0.0,0.0,1.0,0.0,"RT @joshdcaplan: ""If Alex Soros didn't have a billionaire father, he couldn't get a job selling Apple computers in Zimbabwe,"" said Michael…","32.3182314, -86.902298",32.3182314,-86.902298,apple,Fri Oct 26 01:59:17 +0000 2018,1055639975163760640,"Alabama, USA"
29,0.0,0.0,1.0,0.0,Apple Music有能かよ https://t.co/2yfw4jUVTV,"35.5612568, 139.7160511",35.5612568,139.7160511,apple,Fri Oct 26 01:59:16 +0000 2018,1055639970730323968,東京 大田区
30,0.4574,0.0,0.864,0.136,"RT @btsanalytics: Stream #WasteItOnMe by Steve Aoki (feat. @BTS_twt) on Apple Music now to help it enter Global charts! 

 https://t.co/tAm…","40.7127753, -74.0059728",40.7127753,-74.0059728,apple,Fri Oct 26 01:59:16 +0000 2018,1055639969891540993,"New York, NY"
33,0.5859,0.0,0.648,0.352,they be the next Apple company wow https://t.co/HLqdgFKzcM,"1.352083, 103.819836",1.352083,103.819836,apple,Fri Oct 26 01:59:15 +0000 2018,1055639968389844992,Singapore
34,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","40.6331249, -89.3985283",40.6331249,-89.3985283,apple,Fri Oct 26 01:59:15 +0000 2018,1055639967702106113,"Illinois,USA "
35,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","32.761498, -96.85152199999999",32.761498,-96.85152199999999,apple,Fri Oct 26 01:59:15 +0000 2018,1055639965969846272,bts/dallas
38,-0.4215,0.167,0.833,0.0,"RT @btschartdata: iTunes UK:

#4 Waste It On Me (feat. BTS) (+2) *new peak* https://t.co/rhxHiMjg0m","14.5339414, 121.0427054",14.5339414,121.0427054,apple,Fri Oct 26 01:59:14 +0000 2018,1055639963444760576,PH_ARMY
41,0.0,0.0,1.0,0.0,"RT @thefuturematt: Hawkeye Access lets you control your iOS device using your eyes. Browse any website, hands-free, all through eye movemen…","13.7563309, 100.5017651",13.7563309,100.5017651,apple,Fri Oct 26 01:59:13 +0000 2018,1055639959816695808,"Bangkok, Thailand"
42,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","-12.0463731, -77.042754",-12.0463731,-77.042754,apple,Fri Oct 26 01:59:13 +0000 2018,1055639959674257409,Peru-Lima
45,0.6571,0.0,0.846,0.154,RT @kentcdodds: Come on Apple. Don't let me down! Make a comeback on the MacBook Pro! Let us see your former glory in these machines! Pleas…,"1.4853682, 103.7618154",1.4853682,103.7618154,apple,Fri Oct 26 01:59:13 +0000 2018,1055639957518209024,"Johore, Malaysia"
46,-0.4215,0.127,0.82,0.053,RT @katmiriamxo: Yall not seeing man’s eyes? He all levels of heart broken and he just want his cinnamon apple back https://t.co/mxguKGj61z,"42.43472, -83.985",42.43472,-83.985,apple,Fri Oct 26 01:59:13 +0000 2018,1055639957291712512,hell
48,0.0,0.0,1.0,0.0,"stream #womanlikeme now!! 🌹

apple music: https://t.co/PDfDSNWtT6
spotify: https://t.co/FY8B2CZ81n
itunes:… https://t.co/GQFS1JZZTM","6.42375, -66.58973",6.42375,-66.58973,apple,Fri Oct 26 01:59:13 +0000 2018,1055639956901765120,Venezuela
51,0.0,0.0,1.0,0.0,https://t.co/1t7Z2PsYdr,"29.95106579999999, -90.0715323",29.95106579999999,-90.0715323,apple,Fri Oct 26 01:59:12 +0000 2018,1055639955068936192,New Orleans
53,0.0,0.0,1.0,0.0,"RT @AppleMusic: Another🔥collab from @steveaoki x @BTS_twt. Listen to #WasteItonMe.
https://t.co/NlWZYv1ghd","35.52981980000001, 139.7024039",35.52981980000001,139.7024039,apple,Fri Oct 26 01:59:12 +0000 2018,1055639952959012865,川崎
55,0.296,0.0,0.925,0.075,RT @Apple: Join us on October 30 at 10 a.m. EDT to watch the #AppleEvent live. Tap ❤️ below and we’ll send you updates on event day. https:…,"39.7392358, -104.990251",39.7392358,-104.990251,apple,Fri Oct 26 01:59:11 +0000 2018,1055639951193268225,Denver
56,0.0,0.0,1.0,0.0,"RT @yohobrewing: 本日は何かと話題のApple Storeですが、銀座店は通常営業でした。

隣のビルが解体工事中でした。
、、、、、。

#超宴会場道案内 https://t.co/IUMPp4zTL7","35.888003, 139.636176",35.888003,139.636176,apple,Fri Oct 26 01:59:11 +0000 2018,1055639950383673346,日本　関東地方
57,0.0,0.0,1.0,0.0,화면 큰걸 가지고 자랑하는 #Apple 이 속상하기는 하지만.. 광고는 진짜 겁나 잘뽑네.. 브금(에어팟 광고 브금 편곡 한건가..?)도 좋고..물론 가격도 엄청 아름답지.. 개비싸 이생퀴들아!!… https://t.co/3vwC8eTDOd,"35.2538433, 128.6402609",35.2538433,128.6402609,apple,Fri Oct 26 01:59:11 +0000 2018,1055639949477724160,대한민국 창원시
